rank,id,score,time
1,jyc,25070,2024-05-17T22:23:46
2,Wonder,5720,2024-05-17T17:47:34
3,me,4810,2024-05-17T21:27:04
4,franklin,4120,2024-05-17T17:42:23
5,John,3440,2024-05-17T00:22:10
6,Paul,3060,2024-05-17T17:43:15
7,mozart,2890,2024-05-15T15:56:30
8,marley,1730,2024-05-16T21:06:29
9,tom,1280,2024-05-17T17:39:57
10,Ringo,1150,2024-05-11T16:49:01
11,paul,1020,2024-05-11T15:09:32
12,stevie,530,2024-05-17T17:46:20
13,ringo,510,2024-05-11T15:12:09
14,cage,120,2024-05-11T17:02:10
15,jyc,100,2024-05-14T14:59:09
16,george,80,2024-05-11T15:15:31
17,null,0,2024-05-15T16:11:49
